PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
INDIAN BOUNDARY,165,River Suite,POINT (-87.69382037137235 42.010165875679725),-87.69382037,42.01016588,Phil Schuster,CPD,5856
"KING-LOCKHART (PATRICK, ANTHONY)",558,Where Dreams Begin,POINT (-87.68101697520234 41.70025485118374),-87.68101698,41.70025485,Marshall Svendsen,CPD,5822
ARRIGO (VICTOR),215,Christopher Columbus and Fountain,POINT (-87.66135902068221 41.871715570902694),-87.66135902,41.87171557,Moses Ezekiel,CPD,1231
BIXLER (RAY),1083,Phil Richman Fountain,POINT (-87.59277601514974 41.791679640120435),-87.59277602,41.79167964,,CPD,1232
BURNHAM (DANIEL),27,American Doughboy (Spirit of the American Doughboy),POINT (-87.61652131558861 41.860805788112536),-87.61652132,41.86080579,Ernest Moore Viquesney,CPD,1233
BURNHAM (DANIEL),27,Mermaid (La Sirena),POINT (-87.59719664211076 41.82065095049295),-87.59719664,41.82065095,Jose Moreno,CPD,1234
BURNHAM (DANIEL),27,Gold Star Families Memorial,POINT (-87.61422863059079 41.86244137718876),-87.61422863,41.86244138,David Woodhouse & Assoc.,CPD,1235
BURNHAM (DANIEL),27,Chicago Firefighter/Paramedic Memorial,POINT (-87.609772769109 41.85069858464075),-87.60977277,41.85069859,John Alaniz,CPD,1236
BURNHAM (DANIEL),27,Soldier Field Children's Garden,POINT (-87.61484271098291 41.8645728093905),-87.61484271,41.86457281,Peter Lindsay Schaudt,,1237
BURNHAM (DANIEL),27,Special Olympics Memorial,POINT (-87.6154785251789 41.862175566116626),-87.61547853,41.86217557,Richard Hunt,CPD,1238
BURNHAM (DANIEL),27,Tribute to George Halas,POINT (-87.61551276626999 41.86253310458865),-87.61551277,41.86253311,Julie Rotblatt-Amrany,,1240
BURNHAM (DANIEL),27,Wallach Fountain,POINT (-87.5756584036286 41.795573825493854),-87.5756584,41.79557383,Frederick & Elisabeth Hibbard,CPD,1241
CHICAGO WOMEN'S PARK AND GARDENS,550,Botanical Gardens Fountain,POINT (-87.62134843218149 41.85707740116308),-87.62134843,41.8570774,Tannis Langdon,CPD,1243
CHICAGO WOMEN'S PARK AND GARDENS,550,Jane Addams Memorial (Helping Hands),POINT (-87.62123312438105 41.85697158915095),-87.62123312,41.85697159,Louise Bourgeois,,1244
COMMERCIAL CLUB PGD. OF CHICAGO,1006,Playground Art,POINT (-87.67376927483093 41.896606956361204),-87.67376927,41.89660696,"John Pittman Webber, CPAG",CPD,1245
DEARBORN (HENRY),465,Alchemy -- Birds and Stone,POINT (-87.62913385320577 41.870815406190374),-87.62913385,41.87081541,Dan Yarborough,CPD,1247
CORNELL (PAUL) SQUARE,5,Paul Cornell Bust,POINT (-87.67012333843081 41.802959037429225),-87.67012334,41.80295904,Sigvald Asbj�rnsen,CPD,1248
FULLER (MELVILLE),4,Melville W. Fuller Bust,POINT (-87.63459834896857 41.812175286888504),-87.63459835,41.81217529,William Ordway Partridge,CPD,1249
FULLER (MELVILLE),4,Fountain,POINT (-87.63459230853003 41.81206080742908),-87.63459231,41.81206081,,CPD,1250
GARFIELD (JAMES),204,Administration Bldg Interior Panels (Gold Dome Rotunda Panels),POINT (-87.71601342285989 41.882672687362934),-87.71601342,41.88267269,Richard W. Bock,CPD,1251
GARFIELD (JAMES),204,Bulls with Maidens (World Fair Bulls/Statues of Plenty),POINT (-87.71865303468574 41.8865953931705),-87.71865303,41.88659539,"Daniel Chester French, Edward C. Potter",CPD,1252
GARFIELD (JAMES),204,Norman Cornwall Memorial (WWI Obelisk),POINT (-87.71600563383316 41.87705831272941),-87.71600563,41.87705831,Carl J. Epiing,CPD,1253
GARFIELD (JAMES),204,Robert Burns Memorial,POINT (-87.71736073621094 41.88199070489179),-87.71736074,41.88199071,William Grant Stevenson,CPD,1254
GARFIELD (JAMES),204,Conservatory Entrance Fountain,POINT (-87.71682545354669 41.88627571785189),-87.71682545,41.88627572,"Wolff, Clements & Assoc",CPD,1255
GARFIELD (JAMES),204,Lincoln the Rail-Splitter,POINT (-87.71606875985535 41.88178763733839),-87.71606876,41.88178764,Charles J. Mulligan,CPD,1256
GARFIELD (JAMES),204,Pastoral & Idyl,POINT (-87.71730014925188 41.88633464282997),-87.71730015,41.88633464,Lorado Taft,CPD,1257
GARFIELD (JAMES),204,Persian Pool (Yellow Lilies),POINT (-87.71745675960527 41.88629260408867),-87.71745676,41.8862926,Dale Chihuly,CPD,1258
GARFIELD (JAMES),204,Zellij Fountain,POINT (-87.71767722497611 41.88657249853522),-87.71767722,41.8865725,Said Ben Adiba,CPD,1259
GARIBALDI (GIUSEPPE),1047,Giuseppe Garibaldi Monument,POINT (-87.66531080283248 41.87259175669426),-87.6653108,41.87259176,Victor Gheradi,CPD,1260
GOMPERS (SAMUEL),40,Samuel Gompers Monument,POINT (-87.72855098439967 41.975287947146725),-87.72855098,41.97528795,Susan Clinard,CPD,1261
GOUDY (WILLIAM) SQUARE,105,Turtle Fountain,POINT (-87.62687512643161 41.905506493863854),-87.62687513,41.90550649,Walter Arnold,CPD,1262
GRANT (ULYSSES),24,Agora,POINT (-87.62336714116958 41.86809046813478),-87.62336714,41.86809047,Magdalena Abakanowicz,CPD,1263
GRANT (ULYSSES),24,Big Beaver Totem Pole,POINT (-87.61702906546307 41.86720060602693),-87.61702907,41.86720061,Norman Tait Nishga,Field Museum,1264
GRANT (ULYSSES),24,Central Station Fragments,POINT (-87.62273310263761 41.86802233707971),-87.6227331,41.86802234,Bradford L. Gilbert,Metra,1265
GRANT (ULYSSES),24,Clarence Buckingham Memorial Fountain,POINT (-87.61893954498656 41.875795889825596),-87.61893954,41.87579589,Marcel Francois Loyau,CPD,1266
GRANT (ULYSSES),24,Chicago Stock Exchange Arch,POINT (-87.62106321283572 41.88064739174378),-87.62106321,41.88064739,Adler & Sullivan,Art Institute of Chicago,1267
GRANT (ULYSSES),24,Christopher Columbus Monument,POINT (-87.6196173076788 41.86792841531384),-87.61961731,41.86792842,Carl Brioschi,CPD,1268
GRANT (ULYSSES),24,Core-Loc Armoring Devices,POINT (-87.61316324846254 41.88642129522997),-87.61316325,41.8864213,US Army Corps of Engineers,CPD,1269
GRANT (ULYSSES),24,Cubi VII,POINT (-87.62380176927525 41.88032250514422),-87.62380177,41.88032251,David Smith,Art Institute of Chicago,1270
